name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;162;0;231;3059;1659;3059;1243;0
header;91;178;91;214;1716;214;1716;178
A;798;239;798;265;812;265;812;239
D;598;247;598;265;613;265;613;247
A;1063;248;1063;253;1069;253;1069;248
A;687;274;687;298;691;298;691;274
B;784;275;784;300;798;300;798;275
B;1197;275;1197;300;1215;300;1215;275
B;1220;277;1220;300;1225;300;1225;277
B;903;280;903;304;920;304;920;280
B;367;282;367;299;380;299;380;282
B;755;282;755;300;768;300;768;282
B;1230;282;1230;299;1242;299;1242;282
B;736;283;736;300;750;300;750;283
B;263;316;263;341;277;341;277;316
B;327;317;327;335;340;335;340;317
B;839;317;839;342;853;342;853;317
B;1134;317;1134;334;1149;334;1149;317
B;723;318;723;334;735;334;735;318
D;1189;318;1189;335;1203;335;1203;318
B;919;319;919;335;933;335;933;319
A;574;344;574;369;579;369;579;344
A;584;345;584;369;588;369;588;345
C;253;350;253;369;267;369;267;350
B;235;351;235;368;248;368;248;351
B;504;352;504;369;517;369;517;352
B;594;352;594;369;607;369;607;352
B;822;352;822;370;835;370;835;352
D;751;353;751;370;767;370;767;353
C;1011;353;1011;370;1023;370;1023;353
B;1047;353;1047;370;1061;370;1061;353
A;1001;354;1001;370;1005;370;1005;354
A;1109;365;1109;369;1114;369;1114;365
A;639;379;639;405;644;405;644;379
A;901;381;901;384;904;384;904;381
A;1027;381;1027;383;1031;383;1031;381
B;218;387;218;403;232;403;232;387
C;583;387;583;405;597;405;597;387
B;620;388;620;413;634;413;634;388
A;263;415;263;418;266;418;266;415
B;584;415;584;441;598;441;598;415
A;1000;416;1000;419;1003;419;1003;416
B;226;422;226;439;239;439;239;422
B;321;422;321;441;333;441;333;422
B;603;422;603;439;617;439;617;422
A;263;423;263;439;267;439;267;423
B;301;423;301;440;315;440;315;423
B;650;423;650;439;662;439;662;423
A;853;423;853;440;857;440;857;423
B;862;423;862;440;876;440;876;423
D;1009;423;1009;440;1021;440;1021;423
A;1111;423;1111;439;1115;439;1115;423
B;1169;423;1169;440;1182;440;1182;423
A;999;424;999;440;1003;440;1003;424
A;1057;424;1057;440;1061;440;1061;424
B;1045;449;1045;476;1064;476;1064;449
B;168;456;168;473;182;473;182;456
A;1020;456;1020;458;1023;458;1023;456
B;429;457;429;475;443;475;443;457
B;470;457;470;474;483;474;483;457
C;609;457;609;475;623;475;623;457
B;854;457;854;475;868;475;868;457
B;628;458;628;474;642;474;642;458
B;981;458;981;475;994;475;994;458
C;1099;458;1099;476;1112;476;1112;458
