name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;329;0;283;3075;1523;3075;1546;0
header;77;112;77;147;1720;147;1720;112
A;895;175;895;202;918;202;918;175
A;402;412;402;417;408;417;408;412
B;897;838;897;867;918;867;918;838
B;1378;958;1378;977;1390;977;1390;958
A;358;1105;358;1110;363;1110;363;1105
C;890;1507;890;1536;911;1536;911;1507
A;443;1879;443;1884;449;1884;449;1879
A;504;2089;504;2089;504;2089;504;2089
D;889;2176;889;2205;914;2205;914;2176
A;1245;2823;1245;2836;1256;2836;1256;2823
B;391;2824;391;2843;404;2843;404;2824
